Transaction_Amount,Transaction_Type,Account_Age,Transaction_Location,Is_Fraud
23.463404498842955,debit,6,store,0
150.50607154587604,debit,2,online,0
65.83728467727246,debit,4,online,0
45.64712768879766,debit,7,online,0
8.481243523117314,debit,6,online,0
8.479814595730259,credit,9,store,0
2.991938430434034,debit,7,store,0
100.56154322399698,debit,1,online,0
45.954107681363226,credit,6,store,0
61.562503085229515,credit,3,online,0
1.0399653999569312,credit,8,online,0
175.1778737579156,credit,1,store,0
89.32147716773375,credit,2,store,0
11.93438126244735,debit,3,online,0
10.033949437483168,debit,3,online,0
10.130571141612853,debit,7,store,0
18.137686473023855,debit,8,online,0
37.19639154304272,debit,9,store,0
28.27685333901683,debit,7,store,0
17.211149627697075,debit,8,online,0
47.318543694989934,debit,6,online,0
7.511726436366933,debit,2,store,0
17.275775600120113,credit,1,online,0
22.81386091104235,debit,3,online,0
30.446734392988752,credit,9,store,0
76.8968005515456,debit,7,store,0
11.136793106434514,credit,2,online,0
36.10145775165638,credit,1,store,0
44.875236065488025,debit,2,store,0
2.3781924878204275,debit,3,online,1
46.7666510324805,debit,6,online,0
9.348062598870822,credit,9,store,0
3.363196543965212,credit,8,online,0
148.68438967534655,credit,9,online,0
168.53151712305862,debit,8,store,0
82.61657864064384,debit,7,store,0
18.164392998437915,credit,6,store,0
5.138865750125312,debit,8,store,0
57.63753815493309,debit,6,online,0
29.004542129269918,debit,2,online,0
6.507611697722432,credit,9,store,0
34.177361406707504,debit,9,store,0
1.7496860721739542,debit,3,store,0
120.02114436965118,debit,9,online,0
14.972888842034305,credit,2,store,0
54.31278992824902,debit,3,online,0
18.677329082881183,debit,6,online,0
36.70554479546143,debit,4,online,0
39.561189899089875,credit,8,online,0
10.219429975395288,credit,1,store,0
174.64035663681133,credit,6,online,0
74.61226885690704,debit,2,online,0
140.25472096457912,credit,6,online,0
112.60759987670983,debit,1,store,0
45.55272061916375,debit,2,store,0
127.47176896347025,debit,9,store,0
4.6327729476557815,debit,6,online,0
10.906734731563372,credit,8,store,0
2.314098284341598,debit,7,online,0
19.67660434015434,debit,9,online,0
24.60651458971093,debit,9,store,0
15.828022160441286,debit,4,online,0
88.22789326204669,debit,7,online,0
22.061349976493506,debit,5,online,0
16.49014200671246,debit,7,online,0
39.1203541603873,debit,4,online,0
7.594907391031443,debit,1,online,0
81.02417978873656,credit,4,online,0
3.8737934405654504,debit,3,store,1
216.70731697936597,credit,9,store,0
73.97418881207557,credit,5,store,0
11.076972025294298,credit,4,store,0
0.2768710187967737,debit,8,store,0
84.4948388743063,debit,5,online,0
61.35479536935223,credit,3,online,0
65.28314543939995,debit,2,store,0
73.76072630217567,debit,8,online,0
3.8464632756898176,debit,2,online,0
