Date,Open,High,Low,Close,Volume
2022-01-01,100.0,101.6888,98.9409,100.9441,8120
2022-01-02,100.9441,104.6735,99.7399,103.7619,19161
2022-01-03,103.7619,104.7789,102.3223,102.9369,11084
2022-01-04,102.9369,103.1819,100.9453,102.1255,10824
2022-01-05,102.1255,103.0512,99.8779,100.3147,14121
2022-01-06,100.3147,100.8629,96.7756,97.8147,15284
2022-01-07,97.8147,98.6591,96.5655,96.9051,6301
2022-01-08,96.9051,98.1688,95.7261,97.6089,6953
2022-01-09,97.6089,99.1498,95.8059,96.6005,5687
2022-01-10,96.6005,97.3088,93.8539,94.8097,18250
2022-01-11,94.8097,95.2297,94.541,95.2135,24391
2022-01-12,95.2135,96.486,94.0608,95.5985,23437
2022-01-13,95.5985,96.2781,95.2387,95.4473,21574
2022-01-14,95.4473,95.7086,93.8105,94.2583,15853
2022-01-15,94.2583,95.5013,93.7291,94.8553,5110
2022-01-16,94.8553,96.9799,93.7002,95.9471,19580
2022-01-17,95.9471,96.6234,93.6132,94.5457,11617
2022-01-18,94.5457,96.9821,93.9099,96.2532,11503
2022-01-19,96.2532,99.0515,95.482,97.7091,7391
2022-01-20,97.7091,100.7121,96.5908,99.5229,16225
2022-01-21,99.5229,100.9487,99.2606,99.5085,5508
2022-01-22,99.5085,101.2629,98.2915,101.0304,15171
2022-01-23,101.0304,101.9732,99.2902,100.6814,9575
2022-01-24,100.6814,101.3965,99.1632,99.7925,8224
2022-01-25,99.7925,102.4182,99.2044,101.4867,22851
2022-01-26,101.4867,103.8238,100.6165,102.4751,22921
2022-01-27,102.4751,103.144,100.5882,101.2313,21360
2022-01-28,101.2313,101.4934,97.677,98.6152,9442
2022-01-29,98.6152,99.0943,97.3207,98.0561,15375
2022-01-30,98.0561,99.2411,96.6946,98.8183,24435
2022-01-31,98.8183,99.6077,94.6307,95.4548,6029
2022-02-01,95.4548,100.7259,94.7584,99.7348,9791
2022-02-02,99.7348,100.0673,98.4652,99.7223,9752
2022-02-03,99.7223,101.6012,98.3687,101.1219,17646
2022-02-04,101.1219,103.9169,100.7181,102.2407,5815
2022-02-05,102.2407,103.7233,100.1002,101.2496,5331
2022-02-06,101.2496,102.0771,98.0991,98.4742,18818
2022-02-07,98.4742,100.4111,97.7386,99.3629,7750
2022-02-08,99.3629,100.034,96.8863,98.0117,21344
2022-02-09,98.0117,99.3572,94.0735,95.8892,9837
2022-02-10,95.8892,97.4984,95.584,96.3857,19519
2022-02-11,96.3857,97.4327,92.8561,94.143,6682
2022-02-12,94.143,95.2009,92.5967,94.6867,18039
2022-02-13,94.6867,96.6354,94.2685,95.5416,9744
2022-02-14,95.5416,98.0536,94.3562,97.5819,18152
2022-02-15,97.5819,98.8086,96.7235,98.3557,12354
2022-02-16,98.3557,98.8294,96.0609,96.8301,22840
2022-02-17,96.8301,98.7568,95.8149,97.4731,15052
2022-02-18,97.4731,99.3612,96.0072,97.0575,10615
2022-02-19,97.0575,97.8743,94.8634,95.6085,8542
2022-02-20,95.6085,96.6941,94.2825,95.2718,24272
2022-02-21,95.2718,95.8908,94.0837,95.1945,12701
2022-02-22,95.1945,96.3371,93.5914,94.477,23723
2022-02-23,94.477,95.529,90.9006,92.4058,6943
2022-02-24,92.4058,92.8916,91.4626,92.5488,18940
2022-02-25,92.5488,93.9456,91.196,93.5292,10871
2022-02-26,93.5292,95.4486,92.5232,94.4431,20965
2022-02-27,94.4431,102.3722,93.2478,101.0399,20915
2022-02-28,101.0399,102.1434,100.0261,100.517,16565
2022-03-01,100.517,101.3011,99.5526,100.1388,15852
2022-03-02,100.1388,101.5807,99.5275,101.4258,7541
2022-03-03,101.4258,104.8887,100.5744,103.4646,9316
2022-03-04,103.4646,104.3512,101.3379,102.1561,15812
2022-03-05,102.1561,103.5015,99.8775,101.009,24517
2022-03-06,101.009,101.8836,96.8422,97.3775,13779
2022-03-07,97.3775,99.4116,95.913,98.9203,8465
2022-03-08,98.9203,99.459,96.6179,98.1241,18203
2022-03-09,98.1241,99.8394,96.6636,98.8885,17234
2022-03-10,98.8885,99.4948,94.9267,96.2334,5287
2022-03-11,96.2334,96.9385,93.5069,95.0557,6956
2022-03-12,95.0557,95.446,88.8585,89.5574,12970
2022-03-13,89.5574,90.9747,86.2614,87.5908,5906
2022-03-14,87.5908,90.1326,86.3255,89.9069,18173
2022-03-15,89.9069,90.6874,89.0826,89.9684,16715
2022-03-16,89.9684,91.2621,88.534,90.1972,14165
2022-03-17,90.1972,91.272,87.4043,88.2327,12722
2022-03-18,88.2327,89.274,87.5159,88.7231,21897
2022-03-19,88.7231,89.2742,87.3223,87.9801,18934
2022-03-20,87.9801,90.3717,86.855,89.4487,10640
2022-03-21,89.4487,91.5279,88.9328,90.5072,21136
2022-03-22,90.5072,91.3653,89.1961,90.5184,11816
2022-03-23,90.5184,91.9396,88.9756,89.5998,20090
2022-03-24,89.5998,92.5585,88.527,91.7501,12784
2022-03-25,91.7501,92.4417,90.7288,91.2835,24001
2022-03-26,91.2835,92.5266,90.8108,91.4886,10864
2022-03-27,91.4886,96.262,91.1672,94.98,20047
2022-03-28,94.98,97.1459,94.1849,96.0945,6151
2022-03-29,96.0945,96.1306,93.0824,94.5906,22754
2022-03-30,94.5906,95.2621,92.2672,93.2324,17364
2022-03-31,93.2324,93.8591,91.4514,92.333,21437
2022-04-01,92.333,93.2258,91.3755,91.5963,21255
2022-04-02,91.5963,92.1306,87.9775,89.3215,6670
2022-04-03,89.3215,91.2562,88.1785,89.8661,7223
2022-04-04,89.8661,90.5451,88.8541,89.6523,14373
2022-04-05,89.6523,90.687,88.6446,90.2179,24243
2022-04-06,90.2179,92.9738,89.7556,92.7521,22371
2022-04-07,92.7521,93.9776,91.913,93.1726,24386
2022-04-08,93.1726,94.8829,90.9602,91.9227,18914
2022-04-09,91.9227,96.0244,90.7738,95.5314,5908
2022-04-10,95.5314,96.65,94.3409,95.8944,17402
2022-04-11,95.8944,96.4547,94.4434,94.4929,16673
2022-04-12,94.4929,94.5278,92.7009,93.6459,21275
2022-04-13,93.6459,94.6427,91.9064,92.1783,23654
2022-04-14,92.1783,96.0338,91.4912,95.2632,21211
2022-04-15,95.2632,96.6048,91.6191,92.3733,13296
2022-04-16,92.3733,95.2341,91.5955,94.4776,22294
2022-04-17,94.4776,95.3525,93.8576,94.5338,14010
2022-04-18,94.5338,95.8934,93.5196,95.6409,18434
2022-04-19,95.6409,96.9519,92.1147,93.0477,15406
2022-04-20,93.0477,93.8936,90.4201,91.8406,22043
2022-04-21,91.8406,96.7953,91.1402,95.2932,7680
2022-04-22,95.2932,98.403,94.142,97.0073,9259
2022-04-23,97.0073,99.0005,96.6806,98.904,23083
2022-04-24,98.904,99.784,95.2547,95.323,20673
2022-04-25,95.323,98.4131,95.2044,98.1651,14182
2022-04-26,98.1651,98.9626,97.1548,98.116,11575
2022-04-27,98.116,99.1839,94.9147,95.8613,8637
2022-04-28,95.8613,96.9602,93.6037,94.2875,14479
2022-04-29,94.2875,95.2891,92.0738,92.6617,8540
2022-04-30,92.6617,92.888,90.6622,91.3855,12285
2022-05-01,91.3855,95.4772,90.8654,94.6631,22471
2022-05-02,94.6631,96.2156,94.1112,95.075,19965
2022-05-03,95.075,95.6447,93.5247,94.2147,17365
2022-05-04,94.2147,94.7641,90.2812,90.3581,19949
2022-05-05,90.3581,92.2655,88.3265,91.341,7143
2022-05-06,91.341,94.6369,91.1583,93.2274,9849
2022-05-07,93.2274,93.4585,91.4634,92.0048,7395
2022-05-08,92.0048,92.8921,89.0954,90.2596,18582
2022-05-09,90.2596,91.6838,89.4287,90.2918,16736
2022-05-10,90.2918,90.9156,87.5043,88.9372,7551
2022-05-11,88.9372,89.184,86.4094,87.5799,12121
2022-05-12,87.5799,91.4448,86.7289,90.6337,9744
2022-05-13,90.6337,91.2389,89.0545,89.6176,8467
2022-05-14,89.6176,89.8187,87.1948,88.2687,24647
2022-05-15,88.2687,88.7057,87.3639,87.9332,8417
2022-05-16,87.9332,90.1841,87.0502,89.1728,16135
2022-05-17,89.1728,90.1901,86.0028,86.5378,11473
2022-05-18,86.5378,88.3818,86.2414,87.4698,9848
2022-05-19,87.4698,88.3608,86.4144,87.9225,8087
2022-05-20,87.9225,89.836,85.1813,85.3369,6036
2022-05-21,85.3369,85.9831,82.8554,84.058,10092
2022-05-22,84.058,85.3005,82.1185,83.2271,16912
2022-05-23,83.2271,83.7084,78.5352,79.566,21612
2022-05-24,79.566,80.4339,78.4792,79.315,8624
2022-05-25,79.315,80.216,78.0479,79.4783,7795
2022-05-26,79.4783,80.4442,78.4429,79.882,8273
2022-05-27,79.882,81.1207,78.9661,80.4891,12176
2022-05-28,80.4891,84.2281,79.31,83.5362,21331
2022-05-29,83.5362,83.9329,80.4616,80.5133,19952
2022-05-30,80.5133,80.6812,79.2377,80.0441,22991
2022-05-31,80.0441,81.3636,79.1499,81.2792,7337
2022-06-01,81.2792,83.3137,80.2516,82.4476,11698
2022-06-02,82.4476,83.6251,81.3945,82.9912,22877
2022-06-03,82.9912,87.0298,82.0297,86.4247,11234
2022-06-04,86.4247,88.2172,85.5961,87.7597,20249
2022-06-05,87.7597,88.4206,85.9173,87.049,21425
2022-06-06,87.049,87.4575,86.0474,86.6696,9585
2022-06-07,86.6696,88.4871,85.4802,87.3016,17822
2022-06-08,87.3016,89.5456,86.8111,87.9949,8631
2022-06-09,87.9949,88.8632,84.9333,86.0675,13017
2022-06-10,86.0675,87.9021,85.1555,87.1243,15117
2022-06-11,87.1243,87.8432,84.5841,85.4028,22442
2022-06-12,85.4028,86.704,84.4104,85.6137,19144
2022-06-13,85.6137,86.9016,85.2696,86.0015,17134
2022-06-14,86.0015,89.1063,85.5974,88.5108,24696
2022-06-15,88.5108,90.3263,87.3451,88.3547,12980
2022-06-16,88.3547,88.9839,87.7524,88.1475,15747
2022-06-17,88.1475,88.8556,84.5147,85.5659,11939
2022-06-18,85.5659,87.0335,84.3954,85.0915,7817
2022-06-19,85.0915,85.8889,82.5595,82.8318,13378
2022-06-20,82.8318,83.9103,80.9893,82.5289,5261
2022-06-21,82.5289,84.6368,81.5222,84.2437,24221
2022-06-22,84.2437,84.6011,82.0487,83.8781,6341
2022-06-23,83.8781,84.4964,82.8084,84.0094,22961
