Date,GDP_Growth,Unemployment_Rate,Inflation_Rate,Interest_Rate,Stock_Market_Return,Credit_Growth,Housing_Market_Index,Financial_Crisis
2000-01-31,0.006181017827104382,0.05221595146063436,0.006170568373590597,0.036908119768355924,0.08599793914179638,0.01809065608323264,114.8256954077822,0
2000-02-29,0.09260714596148743,0.09502811368540297,0.004697879907199984,0.04186725588765489,0.20271616464999315,0.04203069781250643,67.23863621051663,0
2000-03-31,0.05979909127171078,0.13475350030516897,0.07062545805210367,0.02001871595169996,0.1800804648950795,0.1563642179606541,137.2394563354815,0
2000-04-30,0.0397987726295555,0.11786698636914733,0.004954619984950611,0.03499496398427996,-0.12305004765311317,0.0020013158179676555,111.31162390692415,0
2000-05-31,-0.02659720393363452,0.12678733774337397,0.007194972612863101,0.032869839325749946,-0.12537526512926306,0.1608949054436514,65.72038835569542,0
2000-06-30,-0.026600821949569604,0.10905400400528607,0.05593982624179637,0.043313215071530846,-0.06591281612754335,-0.07355967070699256,146.2338057481207,0
2000-07-31,-0.041287458174770086,0.1130731877421423,0.024973984245054,0.04624348241925042,-0.019462636829481406,0.13303953116258924,101.83654633353206,0
2000-08-31,0.07992642186624029,0.13190347818783832,0.05767105569551813,0.010486270859095473,0.0042277907042412854,0.1542642899164209,57.2898451871655,0
2000-09-30,0.04016725176148134,0.05996016106310231,-0.013463384243561475,0.03696079676235171,0.13984860841667263,-0.045454704148798375,112.68329044150673,0
2000-10-31,0.05621088666940684,0.08873099563717685,0.02875711936733843,0.01207343196478916,-0.1716597839170823,0.029103959711660132,75.31989070128103,0
2000-11-30,-0.046912325855629634,0.05654513301835226,-0.016638639981671737,0.031954346603094236,-0.18266364788696682,-0.05035006760090331,130.36934518773023,0
2000-12-31,0.09548647782429916,0.14852016095959764,-0.013734679654464548,0.02150530916174713,-0.004044718528045499,0.11198123869826535,131.78220735661907,0
2001-01-31,0.07486639612006328,0.14328712076239358,0.0706437453344411,0.02227106398088565,0.14858184606899022,0.06060433041849703,147.89473558546618,0
2001-02-28,-0.018149133398258577,0.034731217364220704,-0.006075462888240483,0.024118340138094264,-0.10328232852175873,0.09059700401249632,100.18695310245037,0
2001-03-31,-0.022726254918934905,0.11466902070188262,0.03324206822752171,0.0348516979619844,0.12075224062812584,-0.04105390991313665,95.49568797277371,0
2001-04-30,-0.022489323521984926,0.1410297980898799,0.021109560260070655,0.02336199862675077,-0.07008593102985028,-0.03647624138427415,125.34756054464806,0
2001-05-31,-0.00436366355606934,0.05166904141528002,0.014734332625884267,0.03930796202361122,0.24304305440675816,-0.0875508023470281,63.24706563419266,0
2001-06-30,0.028713464744835687,0.09815342766631553,0.06998333456872725,0.02618109542295479,0.24784497213330825,-0.003379739441281074,104.69155137931241,0
2001-07-31,0.014791752796317365,0.13985859571056503,-0.01781766032245105,0.012734128012398345,-0.051356397859336766,0.0679233984001025,104.6247600130851,0
2001-08-31,-0.00631562897029371,0.03407351743029586,0.04637896861755891,0.041350393699364295,-0.08500312301837976,0.15738047419919868,58.94731228103872,0
2001-09-30,0.04177793420835693,0.11369043206962079,0.07633944342135504,0.02143033298370824,0.005651986033115619,0.10007823423760423,91.79840855069136,0
2001-10-31,-0.029075920902193724,0.06568188088470608,0.0360168183461842,0.027310675183970505,-0.07973420740992565,0.03061889701992543,135.3284798567202,0
2001-11-30,-0.0061783027197172755,0.14092754344518366,0.07368224620330918,0.03741775532887606,0.1361919216458518,0.18593603431824138,135.61536219946603,1
