,gender,emotion,actor,path
0,male,surprise,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
1,male,surprise,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
2,male,angry,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
3,male,fear,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
4,male,fear,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
5,male,angry,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
6,male,disgust,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
7,male,sad,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
8,male,sad,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
9,male,disgust,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
10,male,happy,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
11,male,happy,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
12,male,calm,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
13,male,neutral,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
14,male,calm,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
15,male,happy,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
16,male,happy,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
17,male,calm,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
18,male,calm,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
19,male,neutral,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
20,male,surprise,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
21,male,surprise,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
22,male,fear,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
23,male,angry,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
24,male,angry,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
25,male,fear,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
26,male,sad,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
27,male,disgust,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
28,male,disgust,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
29,male,sad,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
30,male,calm,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
31,male,neutral,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
32,male,calm,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
33,male,happy,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
34,male,happy,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
35,male,surprise,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
36,male,surprise,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
37,male,disgust,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
38,male,sad,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
39,male,sad,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
40,male,disgust,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
41,male,angry,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
42,male,fear,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
43,male,fear,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
44,male,angry,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
45,male,surprise,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
46,male,surprise,1,/Users/murielkosaka/Desktop/capstone_project/audio/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
