Date,Price,MA,RSI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2020-02-03,194.88855372533334,141.39913214853382,56.384547091044126,-0.25927259849251527,1.847219589975964,-2.1064921884684793
2020-02-04,196.56320330745592,143.92612599390654,56.55987659296876,4.040389379831026,4.917505254639605,-0.8771158748085783
2020-02-05,180.8397348116461,148.70400804722382,54.35070775231209,6.108732310420692,5.588678548183416,0.5200537622372758
2020-02-06,130.46137691733708,148.7930731946392,47.89569281615769,3.640827340705073,2.4966188627742376,1.1442084779308352
2020-02-07,109.76721140063839,146.873860842587,45.50491640103379,0.014976028733059366,-0.9033859593582207,0.9183619880912801
2020-02-08,168.4233026512157,148.5035968589807,52.71032648132887,1.8531570546844307,0.7478360532745203,1.1053210014099104
2020-02-09,144.01524937396013,146.0391435185992,49.761818359961396,1.3251276021338185,0.1758452805791264,1.1492823215546921
2020-02-10,112.20382348447788,145.48460389493076,46.1392868135851,-1.641335459876018,-2.232494225144568,0.5911587652685502
2020-02-11,149.51769101112703,145.34847869277118,50.67508853620819,-0.9701779369900692,-1.2490693618068955,0.27889142481682627
2020-02-12,103.43885211152184,141.36257835172245,45.57133537504637,-4.109090924589339,-3.510385879524932,-0.5987050450644067
2020-02-13,190.9320402078782,147.5259354185709,54.86640187715576,0.45798759052897253,0.8453541084747034,-0.38736651794573085
2020-02-14,125.8779981600017,145.03475777356076,48.266260983317785,-1.1585324551836322,-0.6169327497903211,-0.5415997053933111
2020-02-15,166.2522284353982,148.54903034975138,52.116168305741894,0.8089022028245552,1.080401526574293,-0.2714993237497379
2020-02-16,131.1711076089411,150.3108838004952,48.7233000908292,-0.4573726148388175,-0.14869863287126373,-0.3086739819675538
2020-02-17,152.0068021177811,147.2479015428129,50.77312145682202,0.21785063829349838,0.42121969620884175,-0.20336905791534338
2020-02-18,154.67102793432798,144.25560330187517,51.04262335077814,0.9569199115742038,0.9282311755916377,0.02868873598256605
2020-02-19,118.4854455525527,139.80172549765422,47.25831130686607,-1.3615414450748062,-1.1121841448458978,-0.2493573002289084
2020-02-20,196.95846277645586,144.55151734473412,55.04268668611522,3.097472158831465,2.677463567248299,0.4200085915831663
2020-02-21,177.51328233611144,149.39052241155363,52.95690594932838,5.004520022390608,3.667609144645953,1.3369108777446548
2020-02-22,193.9498941564189,151.213850376211,54.52553980850918,7.752796983523979,5.132708884623459,2.6200880989005197
2020-02-23,189.4827350427649,154.4615279239828,53.99853870944109,9.461299892912194,5.47296943520934,3.9883304577028547
2020-02-24,159.78999788110852,157.86054038088494,50.50436901789523,8.323398069504037,3.4680540894409457,4.8553439800630915
2020-02-25,192.18742350231167,160.90837841596957,54.00178967386277,9.921436028701834,4.052873638910993,5.86856238979084
2020-02-26,108.84925020519195,161.2948354226603,45.16148252478312,4.412335864443264,-1.1649812202780607,5.577317084721325
2020-02-27,119.59828624191452,156.19956728223434,46.38072576967419,0.9032792274043686,-3.739230285853565,4.6425095132579335
2020-02-28,104.5227288910538,154.67419090588092,44.873819529305834,-3.058884014531287,-6.161114822231377,3.1022308077000895
2020-02-29,132.53303307632643,152.2656769516615,48.23879716735182,-3.8938436677693176,-5.596859580375526,1.7030159126062083
2020-03-01,138.8677289689482,152.81543562023344,48.99704684096108,-3.9983081833703693,-4.561059276781262,0.5627510934108928
2020-03-02,127.13490317738959,151.03887141020547,47.606033158592055,-4.9705407509499935,-4.426633475488709,-0.5439072754612845
2020-03-03,182.87375091519294,153.0533516231244,54.25087083366334,-1.2292132763691086,-0.5482448007262593,-0.6809684756428493
2020-03-04,135.67533266935894,154.28120070289626,48.627007242304494,-2.0490816588993823,-1.0944905466052264,-0.9545911122941559
2020-03-05,128.09345096873807,149.36227128805928,47.77032356913873,-3.2728997961575317,-1.8546469470907005,-1.4182528490668311
2020-03-06,154.26960831582485,147.70200885803882,50.98116949438503,-2.1063071546844014,-0.5504434444940562,-1.5558637101903452
2020-03-07,114.09242249747626,141.9979037395429,46.27854667240626,-4.373324242689847,-2.2539684259996013,-2.1193558166902458
